date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:02	36527/36527	---MCZ	200	added ('OK')	text/html	etag:W/%2263832c0b-8eaf%22	https://htmldemo.net/koncrete/koncrete/shop-left-sidebar.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/shop-left-sidebar.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:02	36506/36506	---MCZ	200	added ('OK')	text/html	etag:W/%2263832c0d-8e9a%22	https://htmldemo.net/koncrete/koncrete/shop-right-sidebar.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/shop-right-sidebar.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:02	43283/43283	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bf9-a913%22	https://htmldemo.net/koncrete/koncrete/product-details.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/product-details.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:03	25696/25696	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bf3-6460%22	https://htmldemo.net/koncrete/koncrete/cart.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/cart.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:07	43275/43275	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bf8-a90b%22	https://htmldemo.net/koncrete/koncrete/product-details-right-sidebar.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/product-details-right-sidebar.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:07	31932/31932	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bf3-7cbc%22	https://htmldemo.net/koncrete/koncrete/checkout.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/checkout.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:08	25857/25857	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bf1-6501%22	https://htmldemo.net/koncrete/koncrete/blog.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/blog.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:09	30824/30824	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bef-7868%22	https://htmldemo.net/koncrete/koncrete/blog-left-sidebar.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/blog-left-sidebar.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:09	30756/30756	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bf1-7824%22	https://htmldemo.net/koncrete/koncrete/blog-right-sidebar.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/blog-right-sidebar.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
09:23:09	27221/27221	---MCZ	200	added ('OK')	text/html	etag:W/%2263832bef-6a55%22	https://htmldemo.net/koncrete/koncrete/blog-details.html	C:/My%20Web%20Sites/real%20estate/htmldemo.net/koncrete/koncrete/blog-details.html	(from https://htmldemo.net/koncrete/koncrete/index.html)
